price_change,sales_change
0.37,100.0
1.09,-100.0
1.71,100.0
0.35,32.35
0.82,-100.0
2.52,-100.0
4.97,100.0
0.36,100.0
0.35,-3.23
0.36,40.0
-1.16,100.0
-1.16,100.0
0.8,-100.0
0.36,-57.14
8.75,-100.0
1.18,700.0
2.52,-100.0
1.18,-100.0
-1.16,-33.33
1.21,-100.0
1.18,250.0
-1.64,-100.0
-2.02,0.0
1.68,-71.43
2.8,150.0
0.35,-8.09
10.0,-84.21
4.0,-100.0
0.48,0.0
10.0,-81.82
4.55,200.0
2.6,-50.0
2.07,100.0
3.85,100.0
-7.48,-100.0
-2.53,-33.33
-1.75,-60.0
-0.7,-8.06
0.78,-83.33
2.33,28.57
3.1,20.0
2.33,100.0
2.33,50.0
-6.07,100.0
1.55,200.0
-3.7,800.0
1.79,0.0
1.55,-100.0
1.55,0.0
-6.69,-5.26
3.46,0.0
3.41,-44.44
3.44,100.0
8.09,200.0
4.14,-66.67
4.17,200.0
3.41,-66.67
6.47,33.33
3.44,-83.33
2.67,-50.0
-1.51,-0.93
0.74,-100.0
-0.96,-100.0
0.74,200.0
0.73,-100.0
0.73,-100.0
1.48,-100.0
1.48,100.0
0.38,8.41
0.8,100.0
0.73,0.0
-1.01,-100.0
-11.54,100.0
4.55,50.0
2.23,-100.0
0.76,-12.07
-0.97,-100.0
0.73,0.0
0.73,-100.0
0.73,50.0
0.76,9.71
0.73,50.0
0.75,-14.16
2.68,100.0
0.73,100.0
0.93,-100.0
-1.45,-100.0
-1.21,100.0
1.06,0.0
0.57,100.0
1.89,100.0
4.6,0.0
4.05,200.0
4.05,200.0
8.1,100.0
1.15,250.0
6.07,0.0
1.89,-33.33
1.89,0.0
-1.64,-100.0
0.37,-16.13
2.09,-100.0
2.85,-100.0
1.85,-75.0
2.2,100.0
5.84,-100.0
2.21,-50.0
11.67,-100.0
7.49,-100.0
3.41,-57.14
1.89,100.0
7.63,100.0
1.85,-100.0
5.75,-50.0
1.85,100.0
0.74,1.92
1.82,0.0
1.08,-100.0
1.74,100.0
2.2,0.0
1.85,0.0
3.55,-100.0
3.64,100.0
1.82,50.0
0.51,100.0
1.79,300.0
1.08,-66.67
1.82,-100.0
2.54,-100.0
-5.14,100.0
5.08,100.0
2.17,200.0
0.55,100.0
-2.91,100.0
1.71,200.0
1.22,-57.14
1.74,100.0
3.19,500.0
1.79,100.0
7.22,50.0
4.83,-100.0
-1.87,100.0
0.37,-2.97
3.0,-50.0
-3.37,100.0
2.16,100.0
1.79,-100.0
-2.86,100.0
2.11,0.0
0.53,-100.0
2.94,-7.78
0.55,100.0
1.77,-100.0
2.2,100.0
2.07,100.0
4.31,0.0
2.13,100.0
1.79,-100.0
1.04,-100.0
0.36,12.9
-0.36,0.95
-3.9,-100.0
1.71,100.0
0.36,5.66
1.04,-100.0
2.07,-100.0
0.8,100.0
4.05,100.0
-0.71,-5.26
0.51,0.0
0.72,0.0
0.51,-100.0
-1.96,-50.0
1.7,100.0
1.41,-100.0
-6.04,100.0
-0.36,15.13
6.42,0.0
0.36,24.09
-3.0,-57.14
1.04,-100.0
-5.0,50.0
-5.73,-100.0
-0.36,3.5
-3.65,0.0
0.27,-100.0
0.27,-50.0
2.02,100.0
2.43,-66.67
0.14,100.0
0.26,100.0
7.94,-50.0
12.57,50.0
5.93,400.0
1.27,100.0
0.36,3.97
0.52,100.0
0.41,-100.0
1.05,-100.0
-1.0,0.0
3.68,0.0
3.19,-66.67
5.0,100.0
1.12,-20.0
0.26,-100.0
3.55,0.0
1.11,-100.0
0.36,-27.57
0.13,100.0
1.55,-100.0
0.71,-32.95
-2.52,-100.0
0.26,100.0
0.13,-100.0
-6.49,0.0
-1.01,0.0
2.58,100.0
6.94,0.0
1.09,100.0
1.39,-50.0
0.26,0.0
-1.37,-100.0
0.26,50.0
-4.35,-81.82
4.55,0.0
-0.7,12.0
-5.42,0.0
2.6,100.0
1.71,100.0
-5.08,0.0
-3.61,-100.0
-5.42,200.0
2.6,0.0
3.9,0.0
-3.7,-33.33
2.6,66.67
-1.77,-2.55
-5.73,-100.0
6.33,-50.0
-1.02,-66.67
19.61,0.0
-5.73,-100.0
8.86,0.0
2.5,-50.0
-4.33,-50.0
-1.08,150.0
3.85,-50.0
1.27,-100.0
2.53,-19.37
2.38,-100.0
8.2,-100.0
-2.7,100.0
1.16,50.0
3.66,0.0
3.9,100.0
-2.82,-3.9
1.16,100.0
3.79,100.0
-1.98,-100.0
1.15,-100.0
2.35,300.0
7.5,-100.0
-1.81,14.86
-4.02,-50.0
1.15,-50.0
-3.1,100.0
4.88,100.0
1.15,300.0
2.1,-100.0
1.15,100.0
1.09,0.0
-4.05,100.0
-1.89,-100.0
-5.08,-50.0
3.65,-66.67
-15.49,300.0
2.05,-100.0
-14.17,25.0
-9.82,-100.0
5.35,0.0
-13.59,-60.0
-8.99,0.0
-2.42,100.0
2.86,100.0
-8.64,-50.0
-1.48,-100.0
-6.86,500.0
-2.04,-100.0
-0.37,-7.0
1.5,100.0
5.59,-100.0
-7.22,100.0
0.37,-13.44
-0.5,-20.0
7.78,100.0
-0.5,0.0
0.37,-9.43
1.16,0.0
-6.19,-100.0
-5.26,-100.0
-5.03,-66.67
1.15,-100.0
-0.37,7.75
5.56,100.0
5.3,0.0
5.35,0.0
0.74,-3.27
-5.08,100.0
1.3,100.0
-1.75,-100.0
-1.01,0.0
5.35,-100.0
-0.37,11.61
1.79,-100.0
12.59,-100.0
-0.5,-33.33
0.37,-5.92
-4.86,-100.0
-6.88,100.0
0.35,-66.67
-2.0,100.0
-0.37,1.89
-10.64,100.0
-7.83,0.0
-2.02,100.0
1.04,-100.0
-6.12,-25.0
0.69,100.0
-2.36,-100.0
-6.2,0.0
0.34,100.0
-4.35,-100.0
-4.41,-100.0
-3.07,-100.0
0.34,100.0
1.02,-100.0
-0.37,4.57
-2.42,-100.0
3.87,100.0
0.34,0.0
1.48,-7.1
-2.48,100.0
0.34,-100.0
0.68,-100.0
-2.48,100.0
0.34,100.0
-0.36,13.62
-6.19,100.0
0.34,-66.67
-5.28,100.0
-1.08,-100.0
-0.36,11.54
-6.97,100.0
1.09,100.0
-12.15,166.67
